manufacturer,model,year,engine_power,fuel_type,transmission,odometr,price,region,description,price_category
Chevrolet,Cobalt,2021.0,1.5,Gaz-benzin,Avtomat,66000,1100.0,Tashkent,"Kami bor
                                                    2021 yil,
                        
                                        1.5 l, Gaz-benzin, 66 000 km, Mokriy asfalt, Sedan, Uzatish qutisi Avtomat, Lyuk, Yengil qotishmali disklar, Duga, Tum…",low
Chevrolet,Matiz,2011.0,0.8,Benzin,Mexanika,458496,2998.0,Fergana,"2011 yil,
                        
                                        0.8 l, Benzin, 458 496 km, Sariq, Hatchback, Uzatish qutisi Mexanika, Duga, Yengil qotishmali disklar, Audiosistema, K…",low
Chevrolet,Captiva,2013.0,3.2,Benzin,Avtomat,7119,19000.0,Bukhara,"Kami bor
                                                    2013 yil,
                        
                                        3.2 l, Benzin, 7 119 km, Qora, Krossover, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar,…",high
Chevrolet,Nexia 3,2020.0,1.5,Gaz-benzin,Mexanika,115000,9500.0,Kashkadarya,"Kami bor
                                                    2020 yil,
                        
                                        1.5 l, Gaz-benzin, 115 000 km, Qora, Sedan, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tumanga qarshi chiroql…",middle
Chevrolet,Matiz,2006.0,0.8,Gaz-benzin,Mexanika,157000,3323.0,Tashkent,"2006 yil,
                        
                                        0.8 l, Gaz-benzin, 157 000 km, Hatchback, Uzatish qutisi Mexanika, Audiosistema, краска тоза",low
Chevrolet,Damas,2023.0,2.0,Gaz-benzin,Mexanika,19000,6705.0,Namangan,"Kami bor
                                                    2023 yil,
                        
                                        2 l, Gaz-benzin, 19 000 km, Qaymoq rang, Sedan, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Дамаз газ бор юумш…",low
Chevrolet,Gentra,2022.0,1.5,Benzin,Mexanika,26800,12400.0,Khorezm,"Kami bor
                                                    2022 yil,
                        
                                        1.5 l, Benzin, 26 800 km, Mokriy asfalt, Sedan, Uzatish qutisi Mexanika, Tonirovka, Oyna isitgich, Audiosistema, Butun…",high
Chevrolet,Nexia 3,2018.0,1.5,Gaz-benzin,Mexanika,280000,7700.0,Tashkent,"2018 yil,
                        
                                        1.5 l, Gaz-benzin, 280 000 km, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikali ru…",middle
Chevrolet,Gentra,2023.0,1.5,Gaz-benzin,Avtomat,39000,15300.0,Khorezm,"2023 yil,
                        
                                        1.5 l, Gaz-benzin, 39 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiro…",high
Chevrolet,Gentra,2023.0,1.6,Benzin,Avtomat,8500,16000.0,Kashkadarya,"Kami bor
                                                    2023 yil,
                        
                                        1.6 l, Benzin, 8 500 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, Oyn…",high
VAZ,(Lada) Niva,2015.0,1.8,Gaz-benzin,Mexanika,128000,7099.0,Tashkent,"Kami bor
                                                    2015 yil,
                        
                                        1.8 l, Gaz-benzin, 128 000 km, Kulrang, Pikup, Uzatish qutisi Mexanika, Linzali optika, O'rnatma telefon, Gidravlikali…",low
Chevrolet,Nexia 3,2018.0,1.5,Gaz-benzin,Mexanika,268000,7379.0,Tashkent,"Kami bor
                                                    2018 yil,
                        
                                        1.5 l, Gaz-benzin, 268 000 km, Sedan, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oy…",middle
Chevrolet,Nexia 2,2016.0,1.6,Gaz-benzin,Mexanika,106700,5800.0,Namangan,"Kami bor
                                                    2016 yil,
                        
                                        1.6 l, Gaz-benzin, 106 700 km, Oq, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikal…",low
Chevrolet,Gentra,2020.0,1.6,Benzin,Avtomat,52000,14000.0,Tashkent,"2020 yil,
                        
                                        1.6 l, Benzin, 52 000 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, Oy…",high
Chevrolet,Onix,2024.0,1.2,Benzin,Avtomat,8000,17321.0,Jizzakh,"2024 yil,
                        
                                        1.2 l, Benzin, 8 000 km, Qora, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tashqi chiroq proborlar…",high
Chevrolet,Epica,2008.0,2.0,Benzin,Mexanika,170000,10400.0,Sirdarya,"Kami bor
                                                    2008 yil,
                        
                                        2 l, Benzin, 170 000 km, Sedan, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna isi…",middle
Chevrolet,Tracker 2,2023.0,1.2,Gaz-benzin,Avtomat,22000,21000.0,Jizzakh,"Kami bor
                                                    2023 yil,
                        
                                        1.2 l, Gaz-benzin, 22 000 km, Uzatish qutisi Avtomat, Shumka qilingan mers xadavoy yana navarotlari bor 22 ming yurgan…",high
Chevrolet,Matiz,2015.0,0.8,Gaz-benzin,Mexanika,200000,4800.0,Andijan,"Kami bor
                                                    2015 yil,
                        
                                        0.8 l, Gaz-benzin, 200 000 km, Hatchback, Uzatish qutisi Mexanika, Audiosistema",low
Chevrolet,Tracker 2,2023.0,1.2,Gaz-benzin,Avtomat,22000,21000.0,Tashkent,"Kami bor
                                                    2023 yil,
                        
                                        1.2 l, Gaz-benzin, 22 000 km, Uzatish qutisi Avtomat, Shumka qilingan mers xadavoy yana navarotlari bor 22 ming yurgan…",high
Chevrolet,Matiz,2015.0,0.8,Gaz-benzin,Mexanika,200000,4800.0,Tashkent,"Kami bor
                                                    2015 yil,
                        
                                        0.8 l, Gaz-benzin, 200 000 km, Hatchback, Uzatish qutisi Mexanika, Audiosistema",low
Chevrolet,Nexia 3,2018.0,1.5,Benzin,Mexanika,158000,8700.0,Jizzakh,"2018 yil,
                        
                                        1.5 l, Benzin, 158 000 km, Oq, Sedan, Uzatish qutisi Mexanika, Tonirovka, Tumanga qarshi chiroqlar, Faralar korrektori…",middle
Chevrolet,Tracker,2022.0,1.2,Gaz-benzin,Avtomat,26000,18143.0,Tashkent,"2022 yil,
                        
                                        1.2 l, Gaz-benzin, 26 000 km, Qora, Krossover, Uzatish qutisi Avtomat, Tonirovka, Lyuk, Duga, Charm, Kalitsiz kirish,…",high
Chevrolet,Nexia 3,2021.0,1.5,Benzin,Avtomat,67000,10500.0,Sirdarya,"2021 yil,
                        
                                        1.5 l, Benzin, 67 000 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna isi…",middle
Kia,Sportage,2023.0,2.0,Gaz-benzin,Avtomat,35000,25900.0,Surkhandarya,"Kami bor
                                                    2023 yil,
                        
                                        2 l, Gaz-benzin, 35 000 km, Qora, Yo‘ltanlamas, Uzatish qutisi Avtomat, Tonirovka, Kia birinchi pazitsiya. Moshin 2023…",high
Chevrolet,Nexia 3,2022.0,1.5,Gaz-benzin,Avtomat,63000,11000.0,Tashkent,"Kami bor
                                                    2022 yil,
                        
                                        1.5 l, Gaz-benzin, 63 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tonirovka, Yukxona, Tashqi…",middle
Chevrolet,Cobalt,2018.0,1.5,Gaz-benzin,Mexanika,420000,8700.0,Tashkent,"Kami bor
                                                    2018 yil,
                        
                                        1.5 l, Gaz-benzin, 420 000 km, Oq, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosiste…",middle
Chevrolet,Cobalt,2018.0,1.5,Gaz-benzin,Mexanika,420000,8700.0,Sirdarya,"Kami bor
                                                    2018 yil,
                        
                                        1.5 l, Gaz-benzin, 420 000 km, Oq, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosiste…",middle
Chevrolet,Gentra,2023.0,1.5,Benzin,Avtomat,20000,15382.0,Andijan,"Kami bor
                                                    2023 yil,
                        
                                        1.5 l, Benzin, 20 000 km, To'q ko'k, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tonirovka, Lyuk, Tumang…",high
Chevrolet,Nexia 3,2019.0,1.5,Benzin,Avtomat,68000,9500.0,Tashkent,"2019 yil,
                        
                                        1.5 l, Benzin, 68 000 km, Qora, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oy…",middle
Chevrolet,Spark,2020.0,1.25,Benzin,Mexanika,70000,7500.0,Bukhara,"2020 yil,
                        
                                        1.25 l, Benzin, 70 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikal…",middle
Chevrolet,Epica,2010.0,2.0,Benzin,Avtomat,60000,9900.0,Navoi,"Kami bor
                                                    2010 yil,
                        
                                        2 l, Benzin, 60 000 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Oyna isitgich, Tumanga qarshi…",middle
Chevrolet,Epica,2010.0,2.0,Benzin,Avtomat,60000,9900.0,Andijan,"Kami bor
                                                    2010 yil,
                        
                                        2 l, Benzin, 60 000 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Oyna isitgich, Tumanga qarshi…",middle
Chevrolet,Nexia 3,2020.0,1.5,Benzin,Mexanika,70,10000.0,Tashkent,"2020 yil,
                        
                                        1.5 l, Benzin, 70 km, Oq, Sedan, Uzatish qutisi Mexanika, Tonirovka, Tumanga qarshi chiroqlar, Audiosistema, Butun ele…",middle
Chevrolet,Malibu,2012.0,2.4,Benzin,Avtomat,92000,13500.0,Tashkent,"Kami bor
                                                    2012 yil,
                        
                                        2.4 l, Benzin, 92 000 km, Kulrang, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chir…",high
Chevrolet,Nexia 3,2020.0,1.5,Benzin,Mexanika,70,10000.0,Jizzakh,"2020 yil,
                        
                                        1.5 l, Benzin, 70 km, Oq, Sedan, Uzatish qutisi Mexanika, Tonirovka, Tumanga qarshi chiroqlar, Audiosistema, Butun ele…",middle
Chevrolet,Malibu,2012.0,2.4,Benzin,Avtomat,92000,13500.0,Namangan,"Kami bor
                                                    2012 yil,
                        
                                        2.4 l, Benzin, 92 000 km, Kulrang, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chir…",high
VAZ,(Lada) Niva,2019.0,1.7,Gaz-benzin,Mexanika,90000,11000.0,Tashkent,"2019 yil,
                        
                                        1.7 l, Gaz-benzin, 90 000 km, Jigar rang, Yo‘ltanlamas, Uzatish qutisi Mexanika, Niva bronta bez xarajat moshina maytf…",middle
Chevrolet,Gentra,2019.0,1.6,Benzin,Avtomat,106000,12500.0,Andijan,"2019 yil,
                        
                                        1.6 l, Benzin, 106 000 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, O…",high
Chevrolet,Gentra,2023.0,1.6,Benzin,Avtomat,23000,16000.0,Samarkand,"2023 yil,
                        
                                        1.6 l, Benzin, 23 000 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, Oy…",high
VAZ,(Lada) 2105,1989.0,1.3,Benzin,Mexanika,7777,1500.0,Tashkent,"1989 yil,
                        
                                        1.3 l, Benzin, 7 777 km, Oq, Sedan, Uzatish qutisi Mexanika, Mowina yuriwi yaxwi 60% la yengilangan. Petno, kraskalari…",low
Chevrolet,Cobalt,2014.0,1.5,Benzin,Mexanika,187000,8677.0,Samarkand,"2014 yil,
                        
                                        1.5 l, Benzin, 187 000 km, Sedan, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna i…",middle
VAZ,(Lada) 2106,1976.0,1.6,Gaz-benzin,Mexanika,23000,1500.0,Bukhara,"1976 yil,
                        
                                        1.6 l, Gaz-benzin, 23 000 km, Oq, Sedan, Uzatish qutisi Mexanika, Audiosistema, Жигули 2106сотилади холати яхши камчил…",low
Chevrolet,Spark,2020.0,1.3,Benzin,Mexanika,79000,7600.0,Tashkent,"Kami bor
                                                    2020 yil,
                        
                                        1.3 l, Benzin, 79 000 km, Oq, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikali…",middle
Chevrolet,Nexia 2,2013.0,1.6,Benzin,Mexanika,198,5200.0,Tashkent,"Kami bor
                                                    2013 yil,
                        
                                        1.6 l, Benzin, 198 km, Qora, Sedan, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Vely…",low
Chevrolet,Damas,2009.0,3.7,Gaz-benzin,Mexanika,700000,3500.0,Khorezm,"2009 yil,
                        
                                        3.7 l, Gaz-benzin, 700 000 km, Qaymoq rang, Sedan, Uzatish qutisi Mexanika, hadavoy yahwi uzatma 4 talik",low
Chevrolet,Spark,2013.0,1.3,Benzin,Mexanika,280,4800.0,Tashkent,"2013 yil,
                        
                                        1.3 l, Benzin, 280 km, Oq, Hatchback, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Audiosistema, Gidravlikali ru…",low
VAZ,(Lada) Niva 1922 Bronto,2018.0,1.7,Gaz-benzin,Mexanika,78000,11500.0,Tashkent,"2018 yil,
                        
                                        1.7 l, Gaz-benzin, 78 000 km, Mokriy asfalt, Yo‘ltanlamas, Uzatish qutisi Mexanika",high
Chevrolet,Cobalt,2023.0,1.5,Benzin,Avtomat,20000,11832.0,Namangan,"2023 yil,
                        
                                        1.5 l, Benzin, 20 000 km, Mokriy asfalt, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga…",high
Chevrolet,Captiva,2009.0,3.2,Gaz-benzin,Avtomat,23300,12000.0,Jizzakh,"2009 yil,
                        
                                        3.2 l, Gaz-benzin, 23 300 km, Qora, Krossover, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga…",high
Chevrolet,Nexia 3,2022.0,1.5,Gaz-benzin,Avtomat,62000,11000.0,Namangan,"Kami bor
                                                    2022 yil,
                        
                                        1.5 l, Gaz-benzin, 62 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Oyna isitgich, Tumanga qar…",middle
Chevrolet,Cobalt,2020.0,1.5,Gaz-benzin,Mexanika,170000,12000.0,Jizzakh,"2020 yil,
                        
                                        1.5 l, Gaz-benzin, 170 000 km, Qora, Sedan, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tumanga qarshi chiroql…",high
Chevrolet,Cobalt,2020.0,1.5,Gaz-benzin,Mexanika,170000,12000.0,Tashkent,"2020 yil,
                        
                                        1.5 l, Gaz-benzin, 170 000 km, Qora, Sedan, Uzatish qutisi Mexanika, Yengil qotishmali disklar, Tumanga qarshi chiroql…",high
Chevrolet,Nexia 2,2009.0,1.6,Gaz-benzin,Mexanika,307000,5000.0,Tashkent,"2009 yil,
                        
                                        1.6 l, Gaz-benzin, 307 000 km, Sedan, Uzatish qutisi Mexanika, Audiosistema, Кузивида арзимаган Чака чукаси бор. Мошин…",low
Chevrolet,Gentra,2022.0,1.6,Gaz-benzin,Avtomat,43000,14700.0,Tashkent,"Kami bor
                                                    2022 yil,
                        
                                        1.6 l, Gaz-benzin, 43 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiro…",high
VAZ,(Lada) 2106,1983.0,1.6,Benzin,Mexanika,100000,1200.0,Tashkent,"1983 yil,
                        
                                        1.6 l, Benzin, 100 000 km, Sedan, Uzatish qutisi Mexanika, Matori yaxshi rasxod yoq xadavoy yaxshi plastlik tex. Passp…",low
Chevrolet,Gentra,2021.0,1.8,Benzin,Mexanika,9000,12500.0,Kashkadarya,"2021 yil,
                        
                                        1.8 l, Benzin, 9 000 km, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosistema, Gidrav…",high
Chevrolet,Matiz,2004.0,0.8,Benzin,Mexanika,200000,2600.0,Andijan,"2004 yil,
                        
                                        0.8 l, Benzin, 200 000 km, Sariq, Hatchback, Uzatish qutisi Mexanika, Audiosistema, Minish kerak haydash kerak tamom",low
Chevrolet,Lacetti,2012.0,1.6,Gaz-benzin,Avtomat,183000,8400.0,Tashkent,"2012 yil,
                        
                                        1.6 l, Gaz-benzin, 183 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chir…",middle
Chevrolet,Gentra,2019.0,1.6,Benzin,Avtomat,151155,8000.0,Tashkent,"2019 yil,
                        
                                        1.6 l, Benzin, 151 155 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Tumanga qarshi chiroqlar, O…",middle
VAZ,(Lada) 2101,1984.0,1.3,Benzin,Mexanika,777,3000.0,Tashkent,"1984 yil,
                        
                                        1.3 l, Benzin, 777 km, Sedan, Uzatish qutisi Mexanika, Mashina uzimni nomimda mashina tayyor benzinga yurip turgan",low
Daewoo,Nexia,2004.0,1.5,Gaz-benzin,Mexanika,360000,4181.0,Sirdarya,"2004 yil,
                        
                                        1.5 l, Gaz-benzin, 360 000 km, Kumush rang, Sedan, Uzatish qutisi Mexanika, Holati zo'r kamchiligi yoq yangi 2024 meta…",low
Chevrolet,Captiva,2017.0,3.0,Benzin,Avtomat,63000,20500.0,Tashkent,"2017 yil,
                        
                                        3 l, Benzin, 63 000 km, Qora, Krossover, Uzatish qutisi Avtomat, Lyuk, Duga, Yengil qotishmali disklar, Oyna isitgich,…",high
Chevrolet,Nexia 3,2021.0,1.5,Benzin,Avtomat,15000,10500.0,Tashkent,"2021 yil,
                        
                                        1.5 l, Benzin, 15 000 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Tumanga qarshi chiroqlar, Oyna isi…",middle
BYD,Chazor,2023.0,1.5,Benzin,Avtomat,13000,22500.0,Surkhandarya,"2023 yil,
                        
                                        1.5 l, Benzin, 13 000 km, Qora, Sedan, Uzatish qutisi Avtomat, Moshina polni shumka, keramika, broni plonk qilingan 7d…",high
Chevrolet,Nexia 2,2013.0,1.5,Gaz-benzin,Mexanika,287000,4600.0,Tashkent,"Kami bor
                                                    2013 yil,
                        
                                        1.5 l, Gaz-benzin, 287 000 km, Kumush rang, Sedan, Uzatish qutisi Mexanika, Tonirovka, Yukxona, Tumanga qarshi chiroql…",low
Chevrolet,Cobalt,2024.0,1.5,Benzin,Avtomat,1700,13300.0,Tashkent,"2024 yil,
                        
                                        1.5 l, Benzin, 1 700 km, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi chiroqla…",high
Chevrolet,Captiva,2013.0,3.2,Benzin,Avtomat,112000,14500.0,Fergana,"2013 yil,
                        
                                        3.2 l, Benzin, 112 000 km, Oq, Krossover, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Oyna isitgich, Tumanga qa…",high
Chevrolet,Cobalt,2022.0,1.5,Gaz-benzin,Avtomat,74000,11675.0,Tashkent,"Kami bor
                                                    2022 yil,
                        
                                        1.5 l, Gaz-benzin, 74 000 km, Oq, Sedan, Uzatish qutisi Avtomat, Yengil qotishmali disklar, Lyuk, Duga, Tumanga qarshi…",high
Chevrolet,Nexia 3,2021.0,1.5,Benzin,Mexanika,85000,9900.0,Khorezm,"2021 yil,
                        
                                        1.5 l, Benzin, 85 000 km, Qora, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosistema,…",middle
Chevrolet,Gentra,2023.0,1.8,Benzin,Mexanika,400,12800.0,Tashkent,"2023 yil,
                        
                                        1.8 l, Benzin, 400 km, Sedan, Uzatish qutisi Mexanika, Tumanga qarshi chiroqlar, Oyna isitgich, Audiosistema, Gidravli…",high
